,match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
72,1,Australia,Sri Lanka,11.6,1,0,,Melbourne Cricket Ground
73,1,Australia,Sri Lanka,12.1,0,0,,Melbourne Cricket Ground
74,1,Australia,Sri Lanka,12.2,1,0,,Melbourne Cricket Ground
75,1,Australia,Sri Lanka,12.3,1,0,,Melbourne Cricket Ground
76,1,Australia,Sri Lanka,12.4,0,0,,Melbourne Cricket Ground
77,1,Australia,Sri Lanka,12.5,1,0,,Melbourne Cricket Ground
78,1,Australia,Sri Lanka,12.6,1,0,,Melbourne Cricket Ground
79,1,Australia,Sri Lanka,13.1,0,0,,Melbourne Cricket Ground
80,1,Australia,Sri Lanka,13.2,1,0,,Melbourne Cricket Ground
81,1,Australia,Sri Lanka,13.3,1,0,,Melbourne Cricket Ground
82,1,Australia,Sri Lanka,13.4,2,0,,Melbourne Cricket Ground
83,1,Australia,Sri Lanka,13.5,1,0,,Melbourne Cricket Ground
84,1,Australia,Sri Lanka,13.6,1,0,,Melbourne Cricket Ground
85,1,Australia,Sri Lanka,13.7,1,0,,Melbourne Cricket Ground
86,1,Australia,Sri Lanka,14.1,1,0,,Melbourne Cricket Ground
87,1,Australia,Sri Lanka,14.2,3,0,,Melbourne Cricket Ground
88,1,Australia,Sri Lanka,14.3,1,0,,Melbourne Cricket Ground
89,1,Australia,Sri Lanka,14.4,6,0,,Melbourne Cricket Ground
90,1,Australia,Sri Lanka,14.5,3,0,,Melbourne Cricket Ground
91,1,Australia,Sri Lanka,14.6,2,0,,Melbourne Cricket Ground
92,1,Australia,Sri Lanka,15.1,0,MC Henriques,,Melbourne Cricket Ground
93,1,Australia,Sri Lanka,15.2,1,0,,Melbourne Cricket Ground
94,1,Australia,Sri Lanka,15.3,2,0,,Melbourne Cricket Ground
95,1,Australia,Sri Lanka,15.4,1,0,,Melbourne Cricket Ground
96,1,Australia,Sri Lanka,15.5,2,0,,Melbourne Cricket Ground
97,1,Australia,Sri Lanka,15.6,1,0,,Melbourne Cricket Ground
98,1,Australia,Sri Lanka,15.7,6,0,,Melbourne Cricket Ground
99,1,Australia,Sri Lanka,16.1,2,0,,Melbourne Cricket Ground
100,1,Australia,Sri Lanka,16.2,4,0,,Melbourne Cricket Ground
101,1,Australia,Sri Lanka,16.3,1,0,,Melbourne Cricket Ground
102,1,Australia,Sri Lanka,16.4,1,0,,Melbourne Cricket Ground
103,1,Australia,Sri Lanka,16.5,1,0,,Melbourne Cricket Ground
104,1,Australia,Sri Lanka,16.6,1,0,,Melbourne Cricket Ground
105,1,Australia,Sri Lanka,17.1,1,0,,Melbourne Cricket Ground
106,1,Australia,Sri Lanka,17.2,2,0,,Melbourne Cricket Ground
107,1,Australia,Sri Lanka,17.3,1,0,,Melbourne Cricket Ground
108,1,Australia,Sri Lanka,17.4,1,0,,Melbourne Cricket Ground
109,1,Australia,Sri Lanka,17.5,1,0,,Melbourne Cricket Ground
110,1,Australia,Sri Lanka,17.6,1,0,,Melbourne Cricket Ground
111,1,Australia,Sri Lanka,17.7,2,0,,Melbourne Cricket Ground
112,1,Australia,Sri Lanka,18.1,2,0,,Melbourne Cricket Ground
113,1,Australia,Sri Lanka,18.2,1,0,,Melbourne Cricket Ground
114,1,Australia,Sri Lanka,18.3,2,0,,Melbourne Cricket Ground
115,1,Australia,Sri Lanka,18.4,0,TM Head,,Melbourne Cricket Ground
116,1,Australia,Sri Lanka,18.5,0,AJ Turner,,Melbourne Cricket Ground
117,1,Australia,Sri Lanka,18.6,1,0,,Melbourne Cricket Ground
118,1,Australia,Sri Lanka,19.1,4,0,,Melbourne Cricket Ground
119,1,Australia,Sri Lanka,19.2,0,0,,Melbourne Cricket Ground
120,1,Australia,Sri Lanka,19.3,2,0,,Melbourne Cricket Ground
121,1,Australia,Sri Lanka,19.4,1,0,,Melbourne Cricket Ground
122,1,Australia,Sri Lanka,19.5,1,TD Paine,,Melbourne Cricket Ground
123,1,Australia,Sri Lanka,19.6,2,0,,Melbourne Cricket Ground
124,1,Australia,Sri Lanka,19.7,4,0,,Melbourne Cricket Ground
125,2,Australia,Sri Lanka,0.1,0,0,Victoria,"Simonds Stadium, South Geelong"
126,2,Australia,Sri Lanka,0.2,1,0,Victoria,"Simonds Stadium, South Geelong"
127,2,Australia,Sri Lanka,0.3,0,0,Victoria,"Simonds Stadium, South Geelong"
128,2,Australia,Sri Lanka,0.4,4,0,Victoria,"Simonds Stadium, South Geelong"
129,2,Australia,Sri Lanka,0.5,1,0,Victoria,"Simonds Stadium, South Geelong"
130,2,Australia,Sri Lanka,0.6,1,0,Victoria,"Simonds Stadium, South Geelong"
131,2,Australia,Sri Lanka,1.1,1,0,Victoria,"Simonds Stadium, South Geelong"
132,2,Australia,Sri Lanka,1.2,1,0,Victoria,"Simonds Stadium, South Geelong"
133,2,Australia,Sri Lanka,1.3,2,0,Victoria,"Simonds Stadium, South Geelong"
134,2,Australia,Sri Lanka,1.4,2,0,Victoria,"Simonds Stadium, South Geelong"
135,2,Australia,Sri Lanka,1.5,4,0,Victoria,"Simonds Stadium, South Geelong"
136,2,Australia,Sri Lanka,1.6,0,0,Victoria,"Simonds Stadium, South Geelong"
137,2,Australia,Sri Lanka,1.7,0,0,Victoria,"Simonds Stadium, South Geelong"
138,2,Australia,Sri Lanka,2.1,0,0,Victoria,"Simonds Stadium, South Geelong"
139,2,Australia,Sri Lanka,2.2,1,0,Victoria,"Simonds Stadium, South Geelong"
140,2,Australia,Sri Lanka,2.3,0,0,Victoria,"Simonds Stadium, South Geelong"
141,2,Australia,Sri Lanka,2.4,0,AJ Finch,Victoria,"Simonds Stadium, South Geelong"
142,2,Australia,Sri Lanka,2.5,0,0,Victoria,"Simonds Stadium, South Geelong"
143,2,Australia,Sri Lanka,2.6,0,0,Victoria,"Simonds Stadium, South Geelong"
144,2,Australia,Sri Lanka,3.1,1,0,Victoria,"Simonds Stadium, South Geelong"
145,2,Australia,Sri Lanka,3.2,2,0,Victoria,"Simonds Stadium, South Geelong"
146,2,Australia,Sri Lanka,3.3,0,0,Victoria,"Simonds Stadium, South Geelong"
147,2,Australia,Sri Lanka,3.4,4,0,Victoria,"Simonds Stadium, South Geelong"
148,2,Australia,Sri Lanka,3.5,1,0,Victoria,"Simonds Stadium, South Geelong"
